caldt,vwretd,ewretd
19761231,0.061591,0.10241
19770131,-0.036337,0.036903
19770228,-0.01576,0.0044
19770331,-0.009246,0.010654
19770429,0.004952,0.016931
19770531,-0.010785,0.00287
19770630,0.051367,0.051503
19770729,-0.01281,0.012362
19770831,-0.013352,-0.001233
19770930,0.001574,0.014968
19771031,-0.03928,-0.02319
19771130,0.045432,0.070872
19771230,0.008218,0.021081
19780131,-0.055202,-0.011152
19780228,-0.009275,0.026008
19780331,0.034013,0.067839
19780428,0.082841,0.079317
19780531,0.023238,0.06762
19780630,-0.010751,0.010292
19780731,0.056749,0.052394
19780831,0.042352,0.093545
19780929,-0.006891,0.0062
19781031,-0.110997,-0.17728
19781130,0.033792,0.038205
19781229,0.01771,0.014346
19790131,0.049489,0.093661
19790228,-0.026766,-0.016269
19790330,0.065618,0.084167
19790430,0.008522,0.028814
19790531,-0.013576,-0.006845
19790629,0.04685,0.054663
19790731,0.014991,0.021366
19790831,0.064728,0.075616
19790928,0.001428,-0.001172
19791031,-0.07266,-0.097915
19791130,0.063603,0.065295
19791231,0.028212,0.067485
19800131,0.065607,0.105129
19800229,0.001015,-0.006301
19800331,-0.120224,-0.165043
19800430,0.052288,0.053461
19800530,0.06009,0.071249
19800630,0.037714,0.046176
19800731,0.069438,0.089279
19800829,0.023553,0.063984
19800930,0.029498,0.052459
19801031,0.020093,0.047525
19801128,0.104951,0.069205
19801231,-0.034409,-0.032416
19810130,-0.040085,0.005615
19810227,0.015521,0.00215
19810331,0.046184,0.072674
19810430,-0.011268,0.027885
19810529,0.013551,0.027187
19810630,-0.010242,-0.013194
19810731,-0.00308,-0.01998
19810831,-0.056279,-0.071906
19810930,-0.063772,-0.090061
19811030,0.060162,0.069728
19811130,0.045849,0.021667
19811231,-0.028096,-0.019694
19820129,-0.026209,-0.017347
19820226,-0.051126,-0.047987
19820331,-0.010099,-0.012064
19820430,0.043267,0.052242
19820528,-0.028212,-0.02249
19820630,-0.023912,-0.036699
19820730,-0.020526,-0.014776
19820831,0.119013,0.063285
19820930,0.016761,0.033164
19821029,0.118636,0.128447
19821130,0.051935,0.092037
19821231,0.014516,0.023447
19830131,0.04185,0.117062
19830228,0.030219,0.047266
19830331,0.034673,0.050515
19830429,0.074188,0.080687
19830531,0.013226,0.09174
19830630,0.037838,0.046341
19830729,-0.031567,-0.017556
19830831,0.003463,-0.03292
19830930,0.016059,0.000051
19831031,-0.028049,-0.059273
19831130,0.029556,0.031713
19831230,-0.010464,-0.019672
19840131,-0.013023,0.005424
19840229,-0.039073,-0.050767
19840330,0.013389,0.007449
19840430,0.002534,-0.020524
19840531,-0.052342,-0.05157
19840629,0.023385,0.011996
